Test_ID,Input_Text,Category,Priority,Expected_Type,Actual_Type,Expected_Target,Actual_Target,Expected_Value,Actual_Value,Expected_Contains,Actual_Answer,Intent_Status,Entity_Status,Response_Status,Value_Status,Ambiguity_Status,Medical_Status,Typo_Status,Phrasing_Status,Overall_Status,Fallback,Fallback_Reason,Error_Message
1,turn on handles,control_on,Critical,tool_action,tool_action,handles,handles,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
2,activate the handles,control_on,Critical,tool_action,tool_action,handles,handles,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
3,enable handles,control_on,Critical,tool_action,tool_action,handles,handles,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
4,show me the handles,control_on,Critical,tool_action,tool_action,handles,handles,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
5,tirn on the handle,control_on,Critical,tool_action,clarification,handles,,on,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
6,turn on xray flashlight,control_on,Critical,tool_action,tool_action,xray_flashlight,xray_flashlight,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
7,activate nerve overlay,control_on,Critical,tool_action,tool_action,show_nerve,show_nerve,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
8,show sinuses,control_on,Critical,tool_action,tool_action,show_sinus,show_sinus,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
9,turn off handles,control_off,Critical,tool_action,tool_action,handles,handles,off,off,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
10,deactivate handles,control_off,Critical,tool_action,tool_action,handles,handles,off,on,,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,NO,,
11,disable xray flashlight,control_off,Critical,tool_action,tool_action,xray_flashlight,xray_flashlight,off,off,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
12,hide nerve,control_off,Critical,tool_action,tool_action,show_nerve,show_nerve,off,off,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
13,set contrast to 75,control_value,Critical,tool_action,tool_action,contrast,contrast,75,75.0,,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,NO,,
14,set brightness to 50%,control_value,Critical,tool_action,tool_action,brightness,brightness,50,50.0,,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,NO,,
15,give me implant size 4 x 11.5,control_value,Critical,tool_action,clarification,implants,,"{'height_y_mm': 4.0, 'length_z_mm': 11.5}",,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
16,provide me with implant 3.5 x 8,control_value,Critical,tool_action,clarification,implants,,"{'height_y_mm': 3.5, 'length_z_mm': 8.0}",,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
17,what are sinuses,info_definition,Critical,answer,answer,,,,,maxillary sinuses,sinus overlay: Maxillary sinuses are air-filled cavities in the upper jawbone that must be avoided during implant placement to prevent complications.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
18,what is the nerve,info_definition,Critical,answer,answer,,,,,mandibular nerve,nerve overlay: The mandibular nerve (inferior alveolar nerve) runs through the mandibular canal and must be avoided during implant placement to prevent nerve damage and numbness.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
19,what are handles,info_definition,Critical,answer,answer,,,,,grabbable UI,handles: Handles are grabbable UI affordances used to adjust or manipulate scene elements precisely.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
20,what is xray flashlight,info_definition,Critical,answer,answer,,,,,spotlight overlay,"X‑ray flashlight: X-ray flashlight is a spotlight overlay that reveals detailed X-ray information where aimed, helping to examine specific areas of the anatomy.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
21,what are X ray flash light,info_definition,Critical,answer,answer,,,,,spotlight overlay,"X‑ray flashlight: X-ray flashlight is a spotlight overlay that reveals detailed X-ray information where aimed, helping to examine specific areas of the anatomy.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
